LobbystEmployerId,LobbyistId,OrganizationId,DateAdded,Year
708,439,554,06-Jul-14,2014
709,439,555,06-Jul-14,2014
710,440,556,06-Jul-14,2014
712,441,557,06-Jul-14,2014
713,442,480,06-Jul-14,2014
714,443,558,06-Jul-14,2014
715,444,559,06-Jul-14,2014
716,445,558,06-Jul-14,2014
717,446,560,06-Jul-14,2014
718,447,561,06-Jul-14,2014
719,447,562,06-Jul-14,2014
721,448,564,06-Jul-14,2014
722,448,565,06-Jul-14,2014
723,449,499,06-Jul-14,2014
725,449,566,06-Jul-14,2014
726,450,468,06-Jul-14,2014
727,451,221,06-Jul-14,2014
728,452,179,06-Jul-14,2014
730,453,191,06-Jul-14,2014
731,454,191,06-Jul-14,2014
732,455,237,06-Jul-14,2014
733,456,113,06-Jul-14,2014
734,457,567,06-Jul-14,2014
735,458,568,06-Jul-14,2014
736,459,569,06-Jul-14,2014
737,460,570,06-Jul-14,2014
738,457,571,06-Jul-14,2014
739,461,572,06-Jul-14,2014
740,462,573,06-Jul-14,2014
741,463,201,06-Jul-14,2014
742,464,201,06-Jul-14,2014
743,465,574,06-Jul-14,2014
744,467,386,06-Jul-14,2014
745,468,575,06-Jul-14,2014
746,469,576,06-Jul-14,2014
747,469,577,06-Jul-14,2014
749,470,579,06-Jul-14,2014
753,471,287,06-Jul-14,2014
755,466,583,06-Jul-14,2014
757,472,186,06-Jul-14,2014
761,473,53,06-Jul-14,2014
762,473,55,06-Jul-14,2014
763,474,588,06-Jul-14,2014
764,475,113,06-Jul-14,2014
765,476,158,06-Jul-14,2014
766,477,589,06-Jul-14,2014
767,478,287,06-Jul-14,2014
768,479,590,06-Jul-14,2014
770,482,259,06-Jul-14,2014
771,481,184,06-Jul-14,2014
772,483,173,06-Jul-14,2014
773,484,592,06-Jul-14,2014
774,485,48,06-Jul-14,2014
775,486,237,06-Jul-14,2014
776,487,593,06-Jul-14,2014
777,487,594,06-Jul-14,2014
778,487,595,06-Jul-14,2014
779,488,158,06-Jul-14,2014
780,489,596,06-Jul-14,2014
781,487,597,06-Jul-14,2014
784,490,600,06-Jul-14,2014
785,487,601,06-Jul-14,2014
788,487,602,06-Jul-14,2014
792,491,606,06-Jul-14,2014
794,491,608,06-Jul-14,2014
799,492,201,06-Jul-14,2014
801,493,614,06-Jul-14,2014
802,494,133,06-Jul-14,2014
803,493,615,06-Jul-14,2014
805,493,617,06-Jul-14,2014
806,493,618,06-Jul-14,2014
809,493,394,06-Jul-14,2014
811,493,381,06-Jul-14,2014
812,495,125,06-Jul-14,2014
813,496,621,06-Jul-14,2014
814,497,32,06-Jul-14,2014
815,497,622,06-Jul-14,2014
817,499,623,06-Jul-14,2014
818,500,624,06-Jul-14,2014
819,501,625,06-Jul-14,2014
821,503,446,06-Jul-14,2014
822,504,627,06-Jul-14,2014
823,504,303,06-Jul-14,2014
824,504,628,06-Jul-14,2014
825,505,629,06-Jul-14,2014
826,506,592,06-Jul-14,2014
828,508,630,06-Jul-14,2014
831,508,375,06-Jul-14,2014
833,508,618,06-Jul-14,2014
835,510,633,06-Jul-14,2014
836,511,157,06-Jul-14,2014
837,512,498,06-Jul-14,2014
838,513,290,06-Jul-14,2014
839,514,634,06-Jul-14,2014
840,515,635,06-Jul-14,2014
842,516,637,06-Jul-14,2014
845,517,640,06-Jul-14,2014
846,517,641,06-Jul-14,2014
848,516,441,06-Jul-14,2014
851,518,222,06-Jul-14,2014
852,518,644,06-Jul-14,2014
853,518,224,06-Jul-14,2014
855,519,645,06-Jul-14,2014
856,519,646,06-Jul-14,2014
862,519,650,06-Jul-14,2014
863,519,651,06-Jul-14,2014
864,519,652,06-Jul-14,2014
865,520,653,06-Jul-14,2014
867,521,480,06-Jul-14,2014
868,522,655,06-Jul-14,2014
869,522,113,06-Jul-14,2014
870,522,656,06-Jul-14,2014
872,523,658,06-Jul-14,2014
873,523,659,06-Jul-14,2014
874,523,660,06-Jul-14,2014
875,523,661,06-Jul-14,2014
877,523,350,06-Jul-14,2014
878,523,228,06-Jul-14,2014
880,525,113,06-Jul-14,2014
881,526,189,06-Jul-14,2014
884,527,663,06-Jul-14,2014
886,523,665,06-Jul-14,2014
887,523,666,06-Jul-14,2014
890,528,350,06-Jul-14,2014
891,529,668,06-Jul-14,2014
892,530,669,06-Jul-14,2014
893,531,670,06-Jul-14,2014
894,532,671,06-Jul-14,2014
895,533,228,06-Jul-14,2014
896,533,672,06-Jul-14,2014
897,533,673,06-Jul-14,2014
898,534,674,06-Jul-14,2014
899,535,675,06-Jul-14,2014
900,536,676,06-Jul-14,2014
901,537,677,06-Jul-14,2014
902,538,678,06-Jul-14,2014
903,538,679,06-Jul-14,2014
904,538,680,06-Jul-14,2014
906,539,314,06-Jul-14,2014
907,540,69,06-Jul-14,2014
908,541,276,06-Jul-14,2014
909,542,682,06-Jul-14,2014
910,543,683,06-Jul-14,2014
911,544,567,06-Jul-14,2014
912,544,684,06-Jul-14,2014
914,544,686,06-Jul-14,2014
915,544,687,06-Jul-14,2014
916,546,572,06-Jul-14,2014
917,544,688,06-Jul-14,2014
918,544,689,06-Jul-14,2014
919,547,526,06-Jul-14,2014
920,547,528,06-Jul-14,2014
921,548,690,06-Jul-14,2014
922,549,237,06-Jul-14,2014
923,550,368,06-Jul-14,2014
924,551,113,06-Jul-14,2014
926,554,536,06-Jul-14,2014
927,555,237,06-Jul-14,2014
928,556,692,06-Jul-14,2014
929,557,693,06-Jul-14,2014
930,557,503,06-Jul-14,2014
931,557,504,06-Jul-14,2014
932,557,694,06-Jul-14,2014
933,557,555,06-Jul-14,2014
934,557,696,06-Jul-14,2014
935,557,505,06-Jul-14,2014
936,557,506,06-Jul-14,2014
939,557,508,06-Jul-14,2014
941,557,509,06-Jul-14,2014
943,557,511,06-Jul-14,2014
944,557,512,06-Jul-14,2014
945,557,698,06-Jul-14,2014
946,558,699,06-Jul-14,2014
947,557,513,06-Jul-14,2014
950,558,419,06-Jul-14,2014
955,560,829,06-Jul-14,2014
956,558,703,06-Jul-14,2014
957,558,130,06-Jul-14,2014
958,558,704,06-Jul-14,2014
959,561,705,06-Jul-14,2014
960,558,706,06-Jul-14,2014
961,558,707,06-Jul-14,2014
962,558,688,06-Jul-14,2014
963,558,689,06-Jul-14,2014
965,558,709,06-Jul-14,2014
966,558,149,06-Jul-14,2014
967,562,710,06-Jul-14,2014
969,558,96,06-Jul-14,2014
970,563,560,06-Jul-14,2014
971,564,711,06-Jul-14,2014
972,564,83,06-Jul-14,2014
973,565,712,06-Jul-14,2014
974,567,556,06-Jul-14,2014
975,566,713,06-Jul-14,2014
976,568,714,06-Jul-14,2014
977,569,715,06-Jul-14,2014
980,571,617,06-Jul-14,2014
981,572,717,06-Jul-14,2014
982,573,718,06-Jul-14,2014
983,574,589,06-Jul-14,2014
984,575,676,06-Jul-14,2014
