ReportLobbyistId,EntityId,FilingPeriodLobbyistId,StatusId,DateAdded,DateClosed,LastDateAmended,PDFFile,MealBeverageExpenses,OtherEntertainmentExpenses,GiftExpenses,OtherExpenses,SpecialEventExpenses,Expenditures,PoliticalContributions
163,4508,2,3,27-Jun-11,27-Jun-11,,0_163_2011_6_27_10628.pdf,"$3,836.36",$0.00,$0.00,$0.00,$0.00,"$3,836.36",$0.00
164,3226,2,3,27-Jun-11,17-Aug-11,,0_164_2011_8_17_111816.pdf,"$3,703.80",$0.00,$0.00,$0.00,$0.00,"$3,703.80",$0.00
165,3205,2,5,27-Jun-11,27-Jun-11,27-Jun-11,0_165_2011_6_27_111623.pdf,$669.56,"$1,380.85",$100.00,$0.00,$350.00,"$2,500.41",$0.00
166,3601,2,5,27-Jun-11,27-Jun-11,16-Aug-11,0_166_2011_8_16_82815.pdf,$0.00,$0.00,$0.00,$0.00,$275.00,$275.00,$0.00
167,4153,2,3,27-Jun-11,27-Jun-11,,0_167_2011_6_27_112648.pdf,$513.00,$0.00,$0.00,$0.00,$0.00,$513.00,$0.00
168,3129,2,3,27-Jun-11,17-Aug-11,,0_168_2011_8_17_11153.pdf,$285.00,$0.00,$0.00,$0.00,$0.00,$285.00,$0.00
169,4560,2,3,27-Jun-11,27-Jun-11,,0_169_2011_6_27_13733.pdf,$0.00,$0.00,$0.00,$0.00,"$1,728.90","$1,728.90",$0.00
170,3330,2,3,27-Jun-11,17-Aug-11,,0_170_2011_8_17_134613.pdf,"$5,857.26",$0.00,$0.00,$0.00,$0.00,"$5,857.26",$800.00
171,4504,2,3,27-Jun-11,27-Jun-11,,0_171_2011_6_27_13121.pdf,$325.25,$0.00,$0.00,$0.00,$0.00,$325.25,$0.00
172,3331,2,3,27-Jun-11,27-Jun-11,,0_172_2011_6_27_133835.pdf,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
